category;vistype;attr: data-ink ratio;attr: # distinct colors;attr: visual density;attr: human recognizable object;mem: at-a-glance HR (%)
0;0;2;3;1;0;41.76
0;0;1;2;1;0;39.08
0;1;1;1;1;1;77.53
0;2;2;2;2;0;46.51
0;1;1;1;1;1;73.26
0;3;1;2;2;0;59.38
0;2;2;2;1;0;54.65
0;0;1;1;1;0;69.05
0;0;1;1;1;0;59.77
0;1;3;2;1;1;57.47
0;3;1;2;1;0;36.59
0;0;3;2;2;0;44.94
0;5;3;1;2;0;38.89
0;2;3;3;1;1;70.79
0;4;1;1;1;0;50
0;1;1;2;1;1;72.41
0;0;1;2;1;0;51.19
0;5;3;1;1;0;64.29
0;3;1;1;1;0;50
0;3;1;2;1;0;55.7
0;0;2;1;1;0;74.42
0;0;2;2;1;0;41.3
0;1;2;2;3;1;46.51
0;0;1;1;2;0;63.53
0;3;2;2;1;0;60.87
0;0;1;1;1;0;68.97
0;0;1;1;2;0;55.68
0;5;2;2;2;1;60.64
0;3;1;1;1;0;56.04
0;0;3;2;1;0;67.07
0;4;2;2;2;1;72.83
0;1;2;2;2;1;64.44
0;1;1;2;1;1;77.89
0;4;1;1;1;0;48.89
0;0;1;1;1;0;75.58
0;1;2;3;2;1;60.23
0;0;1;1;1;0;67.5
0;0;1;1;1;0;73.91
0;0;1;1;2;0;60.47
0;3;1;2;1;0;70.89
0;0;2;1;2;0;46.81
0;5;2;1;1;0;45.98
0;5;3;2;2;1;30.23
0;3;2;2;2;0;42.5
0;3;1;2;1;0;56.99
0;0;2;1;1;0;59.49
0;0;1;1;1;0;65.12
0;1;3;3;3;1;54.32
0;1;2;1;1;1;67.78
0;2;3;2;3;1;73.81
0;6;1;1;1;0;65.96
0;0;3;2;2;1;72.09
1;3;1;1;2;0;45.68
1;3;2;2;3;0;21.98
1;0;3;2;2;0;40.22
1;5;1;1;1;0;24.72
1;4;2;1;2;0;25.64
1;4;1;1;1;0;34.67
1;0;3;3;2;0;38.2
1;3;1;2;2;0;23.16
1;0;3;3;2;0;33.73
1;3;1;2;1;0;40.96
1;3;2;1;1;0;38.64
1;0;2;2;2;0;35.9
1;7;1;1;1;0;35.87
1;0;2;1;2;0;69.05
1;0;2;1;2;0;69.15
1;8;3;2;1;0;52.27
1;0;3;2;2;0;22.47
1;8;1;3;2;0;60.22
1;4;1;1;1;0;53.33
1;4;1;1;1;0;49.4
1;8;1;3;1;0;56.18
1;4;1;1;1;0;56.82
1;0;1;3;2;0;20.69
2;7;1;2;2;0;50.57
2;7;2;2;2;0;41.18
2;7;1;3;1;0;76.74
2;3;2;2;3;0;48.78
2;2;3;3;3;0;44.94
2;0;3;1;3;0;41.18
2;5;2;2;1;0;71.11
2;7;2;2;1;0;46.59
2;5;1;1;2;0;69.05
2;7;1;2;1;0;64.52
2;3;1;2;2;0;56.32
2;1;3;3;1;1;58.33
2;7;2;1;2;1;53.85
2;3;1;1;1;0;59.04
2;6;1;1;1;1;80.95
2;7;1;3;3;0;75.58
2;3;1;1;2;0;53.26
2;3;2;3;3;0;44.83
2;3;1;1;1;0;32.94
2;2;1;1;1;0;29.35
2;5;2;1;1;0;48.42
2;5;1;1;1;0;60.87
2;1;1;2;2;1;65.82
2;4;1;1;1;0;42.05
2;6;2;3;1;0;45.35
2;3;2;3;2;0;62.22
2;5;3;3;2;0;38.71
2;5;1;2;2;0;43.68
2;1;3;3;3;1;45.24
2;5;3;2;3;0;24.68
2;0;2;3;2;1;76.14
2;3;3;3;3;0;50.55
2;1;3;3;1;1;58.62
2;9;2;2;1;0;60.67
2;10;2;2;1;0;36.59
2;7;1;2;1;1;63.41
2;5;2;1;2;0;34.38
2;9;1;2;1;0;82.8
2;3;3;3;2;0;36.56
2;3;2;2;2;0;54.22
2;7;2;2;2;0;53.57
2;3;1;2;2;0;42.17
2;3;3;3;2;0;39.36
2;5;2;3;3;1;47.87
2;7;2;3;2;1;55.68
2;4;2;1;2;0;52.44
2;7;1;2;1;0;74.73
2;7;1;2;1;0;66.67
2;0;3;1;1;0;58.51
2;7;2;2;2;0;40.23
2;7;2;3;1;0;57.95
2;1;2;2;3;1;33.72
2;1;3;2;3;1;42.17
2;3;3;3;3;0;58.62
2;7;2;2;2;1;47.19
2;3;2;2;1;0;36.56
2;0;2;2;2;0;40.48
2;7;1;1;2;0;60
2;5;1;1;1;0;70.93
2;4;1;1;2;0;41.76
2;9;3;3;2;0;64.04
2;7;1;2;1;0;77.65
2;5;3;3;2;0;54.65
2;6;1;1;1;0;54.65
