filename,source,category,vistype,title location,attr: data-ink ratio,attr: # distinct colors,attr: black&white,attr: visual density,attr: human recognizable object,attr: human depiction,mem: at-a-glance HR (%),mem: at-a-glance FAR (%),mem: prolonged HR (%),data redundancy,message redundancy,illegible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_103.png,Economist Daily,N,Bars,Top-left,2,3,n,1,n,n,41.76,10.89,81.82,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_106.png,Economist Daily,N,Bars,Top-left,1,2,n,1,n,n,39.08,29.47,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_110.png,Economist Daily,N,Maps,Top-left,1,1,n,1,y,n,77.53,26.53,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_116.png,Economist Daily,N,Area,Top-left,2,2,n,2,n,n,46.51,10,76.47,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_124.png,Economist Daily,N,Maps,Key (bottom-left),1,1,n,1,y,n,73.26,18.81,81.25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_129.png,Economist Daily,N,Lines,Top-left,1,2,n,2,n,n,59.38,7.48,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_153.png,Economist Daily,N,Area,Top-left,2,2,n,1,n,n,54.65,9,77.78,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_165.png,Economist Daily,N,Bars,Top-left,1,1,n,1,n,n,69.05,34.41,94.12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_167.png,Economist Daily,N,Bars,Top-left,1,1,n,1,n,n,59.77,34.34,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_18.png,Economist Daily,N,Table,Top-left,2,1,y,2,n,n,50,15.09,93.75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_187.png,Economist Daily,N,Bars,Top-left,1,1,n,1,n,n,50.59,16.16,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_202.png,Economist Daily,N,Points,Top-left,1,1,n,1,n,n,62.92,8,78.57,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_215.png,Economist Daily,N,Maps,Top-left,1,1,n,1,y,n,40,13.13,69.23,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_219.png,Economist Daily,N,Maps,Key (bottom-left),3,2,n,1,y,n,57.47,4.26,100,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_240.png,Economist Daily,N,Lines,Top-left,1,2,n,1,n,n,36.59,12.12,44.44,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_242.png,Economist Daily,N,Bars,Top-left,3,2,n,2,n,n,44.94,25.77,70.59,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_258.png,Economist Daily,N,Points,Top-left,3,1,n,2,n,n,38.89,20.41,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_268.png,Economist Daily,N,Area,Top-left,3,3,n,1,y,n,70.79,3.09,93.75,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_310.png,Economist Daily,N,Table,Top-left,1,1,n,1,n,n,50,12.79,33.33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_317.png,Economist Daily,N,Maps,Top-left,1,2,n,1,y,n,72.41,17.53,93.33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_324.png,Economist Daily,N,Bars,Top-left,1,2,n,1,n,n,51.19,26.04,68.42,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_35.png,Economist Daily,N,Points,Top-left,3,1,n,1,n,n,64.29,17.35,87.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_380.png,Economist Daily,N,Lines,Top-left,1,1,n,1,n,n,50,14.71,87.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economist_daily_chart_390.png,Economist Daily,N,Lines,Top-left,1,2,n,1,n,n,55.7,20.43,75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
